Unnamed: 0,ID,Name,Age,Email,Join Date,Salary,Department,is_valid_email
43,fdffe261-41c3-49bd-8343-c55c22ed6934,Laura Douglas,38.0,rebecca26@long-gray.org,2023-01-15,63299.0,,True
44,507c693e-8fa6-4583-82f8-8eae20d66be7,Evan Martinezimportant,34.0,tanyaglass@yahoo.com,,150059.39895002235,Sales,True
47,6acc5bba-ee93-45b8-aa59-a75e1038c784,Alice Lewis,20.0,juansalinas@hotmail.com,2020-11-16,163203.64761801358,HR,True
49,08a2c469-4d0a-4474-9adc-b080966e2130,Richard Collins,68.0,michaelhernandez@lee.com,2021-05-12,65728.0,HR,True
51,f9d66dd9-4481-447b-9218-e280165ca091,John Bailey,69.0,robbinsfelicia@nelson.com,2020-09-30,39784.0,Support,True
52,b7e13183-a09a-40fa-a401-51f278428372,Joshua Harmonview,59.0,smithrichard@yahoo.com,2020-03-13,89241.0,HR,True
53,fe87e560-dff6-4299-9136-216b4b918d83,Angela Waller,82.0,simontoni@gmail.com,2022-10-22,80113.0,HR,True
57,85fd1b76-fa4c-4b27-916b-69a68efd2f3c,Jason Stephens,54.0,parksandrea@brown.biz,,40452.54850449875,Marketing,True
59,f006e033-2187-4e91-b7ba-34f5e43c4358,Jessica Evans,86.0,mark30@graham-carter.org,2020-04-15,63661.0,HR,True
61,adaf3575-fd70-4249-893f-13e935530282,Kimberly Page,71.0,kruegerchristopher@hotmail.com,2000-01-01,123114.0,HR,True
63,6e50ff2b-ee84-4ba1-adc1-88aced745fff,Mrs. Sheri Duffyparty,38.0,woodmadison@rice.com,2023-05-06,93430.0,Marketing,True
68,15e6fea9-c33c-4a4c-b9cb-0a9653e0f448,Dennis Martindoor,86.0,davidsonamber@yahoo.com,2020-06-19,92158.0,Sales,True
69,78e61c19-2696-4529-93df-84694e0cdbb8,Robert Peterson,63.0,patricia32@hotmail.com,,133039.0,,True
71,ca130e73-2fc6-4c24-aaaa-3b08038f2666,Allison Mcknighttrip,90.0,hsmith@munoz-snyder.com,2022-12-24,105919.6580588758,HR,True
72,fe1793f4-1f96-46df-91eb-464afc0fe31d,Miguel Wilcox,54.16264995136712,caitlin05@hotmail.com,,74013.0,Sales,True
73,1de0420a-7817-4810-824b-86c8d58ef4e0,Richard Estrada,87.0,sharpanthony@lawson.com,,140711.0,HR,True
74,ee302c6d-5164-4b86-bad1-b9624b44c130,Mr. Larry Mcpherson,23.0,austingillespie@gould-chapman.com,,75391.0,HR,True
76,38bb28ae-17e3-4b98-8520-affd806f16a7,Michael Gonzalez,54.16264995136712,uphelps@gmail.com,2000-01-01,55674.0,HR,True
77,994122b1-32e0-4220-83bc-d72267847a23,Richard Brown,45.0,erin29@garza.net,,90216.0,Marketing,True
80,bc03dd30-8836-4161-a3a0-140ab79ead86,William Jonesin,54.16264995136712,perkinsscott@hotmail.com,,42081.0,Sales,True
83,6b64fb02-1d5d-4634-9d1d-d2c718031c33,Jeffrey Crosby,23.0,patricia22@mccann.org,2000-01-01,90766.67155716397,Support,True
84,4749815f-7b8a-4199-8db7-0c26e0ad70f5,Alexis Cunningham,42.0,timothy35@gmail.com,,128133.0,,True
85,badf2575-e344-45dc-b9a7-75ef8efdf52f,Michelle Maldonado,49.0,kcollier@yahoo.com,2022-04-24,146516.0,,True
87,3c2bf634-c5ba-49db-af16-632ec072cc63,Tom Wade,71.0,lawrence69@ford-melton.com,2020-09-15,89241.0,Engineering,True
89,1759df8c-3f9b-4963-854f-c9023b076b3b,Karen Chase,44.0,daniel56@hotmail.com,2020-11-07,122501.30313780135,Support,True
90,7edc8e0d-ef5f-4bed-88e3-f4c696dc318d,Mrs. Betty Robinsonmission,50.0,ecollier@long.com,2024-01-14,145538.0,Support,True
91,00bbcbdf-b232-4eaf-bbd5-19abc9bac992,Jeffrey Jackson,40.0,glucas@hotmail.com,2000-01-01,33381.0,HR,True
92,4b928463-0c4e-4923-8970-a9de2df2a8d4,Haley Montoyapolicy,74.0,mark45@gmail.com,2023-04-16,89801.0,Marketing,True
95,3ea567c5-3cc7-400b-8977-eb15216a8ffd,Keith Powell,64.0,qmarquez@smith.com,2000-01-01,109674.0,Marketing,True
97,8bfbae3a-81de-4658-9fcf-1522a4ffb162,Steven Kirby,49.0,barkerdavid@watson.org,2020-01-19,63896.10248314508,HR,True
99,42ac8e8f-3ab9-4e48-b45a-e60b40962f4b,Nicholas May,58.0,morgan64@andersen-smith.com,2023-09-12,110362.0,Marketing,True
102,4b0d0bbb-734b-411e-8dd8-309fa4950517,Nathan Wong,55.0,richard48@jones-gordon.com,,89241.0,,True
103,2295d7bc-a44c-49c2-bdf5-c58f871f9020,Gregory Schmidt,70.0,jamesdavis@yahoo.com,,93321.0,,True
106,f145433c-5d4e-46ec-b4b7-11741e081c93,Kaitlin Bradymanagement,41.0,peggyweaver@yahoo.com,,95834.0,HR,True
108,edb34b86-369f-4cd2-b4c8-dc2c6eb0ffc5,Stacy Cruz,36.0,williampearson@snyder.com,2020-02-11,118523.38027528132,Marketing,True
109,f0e3f1b7-e05a-405c-9b37-11b60fdf9911,Kevin Fowler,38.0,jroberts@davis.com,2022-07-09,141610.0,HR,True
110,a27873a7-6815-4b06-848f-acd2f2f7d765,Sydney Cox,29.0,joshua07@santiago-salazar.net,2020-08-08,79981.0,HR,True
111,27e4a597-b018-4f5d-85fa-e0bb0b016a9c,Christopher King,28.0,jodonnell@hotmail.com,,56554.3779421467,,True
113,dcb5f899-d8cb-4598-a62a-10662b75cec9,Heather Taylor,40.0,michaelmunoz@dyer.org,2020-04-16,36044.61929198683,,True
114,d376ac20-7988-45a7-8bd9-079ac784e83b,Ricky Rosalesgun,37.0,gguzman@gmail.com,,118687.0,,True
115,8e1a2ece-f33d-4ca5-aa51-38493e11c166,George Grant,50.0,rodriguezsean@hotmail.com,2023-10-15,118357.0,Support,True
117,18991355-b214-44c8-9228-1fe4dac65ddb,Aaron Coffey,54.16264995136712,fbright@yahoo.com,2021-01-24,113645.0,HR,True
119,b67ab588-f67e-4a4d-9bff-e7405e3e4066,Angela Millerperformance,32.0,osmith@kim.net,2000-01-01,134430.0,Support,True
120,15ec5a25-eb6a-4a10-aee9-003524d8372d,Zachary Jones,60.0,idavis@gmail.com,,98733.0,Support,True
124,3e080d1a-093e-43c6-b225-2d0b3a68b03c,Christopher Castillogrow,69.0,davisjeffrey@hotmail.com,2020-02-14,110767.0,,True
125,a9d81df4-d24a-4850-a6b3-4fd8240d7866,Jessica Davis,30.0,doylebradley@yahoo.com,2020-01-09,50850.0,Engineering,True
127,0f9575c3-8bc1-4111-b43d-d2bf9830e3e8,Renee Simsrecognize,46.0,floresbradley@gmail.com,2022-04-22,43178.727119273055,Sales,True
131,77db1219-dddb-421a-86c9-19683a041c8d,Emily Gregory,83.0,russelldalton@gmail.com,2021-05-20,35080.0,Sales,True
132,3b49a4f4-6355-4072-8ccb-c09941effbe1,Michael Allen,57.0,brettrasmussen@powell-jordan.com,2022-08-25,145740.0,HR,True
134,db093611-00f4-418f-ac40-ebb3bef915c8,Glenn Glover,56.0,christopher08@gmail.com,2020-09-09,123133.85781637134,Marketing,True
135,083e2ca2-af18-4867-9468-abe378c743db,Matthew Orr,31.0,stacywright@gmail.com,,43270.0,Engineering,True
138,0a4fa7fe-a16d-4397-8478-1c162693b29c,Michael Weber,72.0,lawrencejames@white-smith.com,2022-08-01,148792.0,Engineering,True
139,0fbdc02a-0e67-4b1e-bc69-fa072dc3847b,Jared Alvarezinterest,25.0,kellyhall@yahoo.com,2024-04-24,53864.0,,True
143,790d5bbb-77e9-4c75-8b62-ba3cf7bd8e6c,Gabrielle Castillo,26.0,danielle27@roy.org,2020-06-17,68942.0,HR,True
146,b419e8e6-d228-43e0-ba28-fd9b43e73754,Brian Meyer,85.0,elizabeth80@yahoo.com,2022-02-28,107955.60498996392,,True
149,61ea6e46-8cff-4847-9334-a3eda91b7fd8,Wendy Schmidt,41.0,sjohnson@chapman.info,2020-04-05,112313.0,Marketing,True
151,2aa051d1-95a6-4fc6-bc8c-81d43b99240d,Nathaniel Lewis,54.16264995136712,ksnyder@gmail.com,,149006.0,,True
154,4735c76d-e473-40bb-b450-7d6fde8fa744,Joseph Palmer,32.0,mpearson@gmail.com,,39649.0,,True
155,1ed0f0ad-1227-4dae-a01d-9c8ef546c561,Beth Hunt,87.0,lisa64@hotmail.com,2023-05-01,89241.0,Support,True
156,e9437818-7319-43df-b534-58e6d0b6d022,Katie Hamilton,24.0,gwhitehead@hotmail.com,,65557.0,Marketing,True
157,6525d805-5575-4a88-bcdd-003f4ce3ef84,Max Rocha,64.0,xbenson@hotmail.com,,99285.29230341536,HR,True
160,1128ef44-e062-4ba0-89c1-0ee9471b84bd,Ashley Smith,81.0,andrewebster@yahoo.com,2023-01-23,89241.0,Engineering,True
163,1ec99653-22c3-4f3b-9469-0ef84876cd16,Joseph Pierce,62.0,mark85@yahoo.com,2022-07-25,105952.0,Marketing,True
164,51d08967-bfcf-48ff-92c4-4f745c5f6689,Benjamin Krause,62.0,kimnguyen@hotmail.com,2023-07-24,53654.0,Engineering,True
166,f690098c-b06e-4272-86f9-53ceaf8575bd,Katherine Kennedyresearch,49.0,johnkeller@hotmail.com,,89241.0,HR,True
167,347f2a84-b890-4c79-a496-9f091ff8c6d4,Jennifer Duncan,40.0,joanreed@yahoo.com,,96651.0,,True
168,57214c37-40d2-4ab3-8d2a-e027c721dd51,Karla Bowen,46.0,justinevans@hotmail.com,,52578.0,HR,True
170,c5fbfd84-8b5a-48e9-a739-8d903ebdd437,Kristen Moyer,52.0,gmartin@valentine.com,,80231.0,HR,True
171,30bd059d-56d9-45e6-a6b8-fbaedd9c90c3,Tami Barnes,66.0,crystalhill@gmail.com,2021-04-11,75292.0,Sales,True
173,78aaaf64-9a49-40b1-8968-bba324b58d2a,Alice Medina,46.0,craigfrederick@mitchell-perry.com,,99875.0,Sales,True
174,48786e20-2534-4e94-9ba7-73f43409891a,Willie Yoder,72.0,clarktanya@hotmail.com,2024-05-05,66032.0,HR,True
175,9b7f9c12-9dba-40f5-91b4-db145484e8ac,George Fullermission,82.0,stephaniethompson@chavez-alexander.com,2020-07-28,37687.0,Sales,True
177,bf18d4cc-9c52-41f8-a032-b238c19b189a,Rodney Burns,53.0,millscourtney@reese.com,,140716.0,,True
178,36d41261-73a7-4a98-ad49-4f332a617758,Tiffany Patel,25.0,michael52@hotmail.com,,49707.0,,True
179,182b6c7c-2121-428a-87b9-63aac3a123ae,Kimberly Terry,54.16264995136712,christopher00@thomas-anderson.com,2024-05-26,111038.0,Engineering,True
183,15cfc09a-fbc9-46bc-88c0-da599fcfe12e,Donald Patton,46.0,andrea07@collins.net,2020-10-10,125069.0,Marketing,True
184,68b67220-13e7-4354-8df3-e21a1c8ef781,Adam Cox,36.0,john28@gmail.com,2023-03-18,89241.0,Engineering,True
185,5e17722e-f98f-44d2-bc63-83d667dc17ed,Karen Martinez,86.0,simpsonaaron@hotmail.com,2022-07-03,38884.0,HR,True
186,9a64317e-0e48-406f-aafc-28a472e1127b,Cory Lewis,75.0,bsoto@yahoo.com,2000-01-01,101307.0,,True
187,9fe516c6-2823-4c71-a796-92abb67e3950,Courtney Clark,70.0,george65@yahoo.com,2024-03-24,129646.0,,True
188,85641e3f-2f11-4c76-9129-0dca2fc02e1b,Juan Patel,47.0,torresnorman@yahoo.com,2000-01-01,91442.36369091627,Sales,True
189,545682fd-fa39-4213-a057-18eaa091381e,Wendy Mason,58.0,aguirrejessica@hotmail.com,2022-07-01,174272.04918043682,Support,True
190,690a7077-baf8-411b-89da-64c1c30f0f50,Christina Kim,52.0,brownkristen@yahoo.com,2000-01-01,141841.04509908447,Engineering,True
195,70c4681f-68fb-490e-8fc0-4c5237eafd04,Frances Johnson,88.0,fernandezrobert@baker-holt.com,2021-09-26,89241.0,HR,True
196,dab0a32a-6a5d-4b0d-89ca-a4a20ecf5a8e,Austin Pugh,25.0,pattersonroger@delgado-long.biz,2020-03-30,109974.0,,True
197,b1c10dc1-601d-4449-92df-cb85581a2af7,William Gordon,49.0,joseph44@yahoo.com,2023-05-28,70760.0,HR,True
198,5d2b9324-f9b3-4282-a2ad-9d76d3ecdd74,Kyle Woods,19.0,victorflynn@yahoo.com,2023-07-04,69836.0,HR,True
199,1032f2e6-2b2d-4b08-82ff-7fb401134501,Destiny Williamson,29.0,stephanie25@hotmail.com,2021-07-19,70856.0,,True
200,9a784002-01ae-460a-aeca-a1881330ef20,Lisa Lee,81.0,tracey40@hotmail.com,2021-09-16,75487.0,HR,True
201,50e945b8-c980-4f4e-8524-9aac85af5ffa,Danielle Morton,57.0,reneeingram@park-alexander.biz,2020-12-23,66393.9120390429,Marketing,True
203,77b5b339-6777-4cf9-8369-a8f79189bcde,Brandi Fowlerreport,43.0,vlogan@herrera-rivas.org,,36232.01186133541,Marketing,True
205,9fac29f5-7a5b-49a4-ab31-b6b2e54915b1,Travis Clark,70.0,cburns@hotmail.com,,130588.0,Engineering,True
207,7a5a224c-626a-4f21-82ad-80cc7d21fd90,John Randall,61.0,hamiltonrebecca@gonzales.com,2020-04-01,138616.0,Engineering,True
208,b89fb19c-d191-48a9-814c-db92cfea05f4,Cheryl Glover,63.0,jamesparker@jones.net,2022-08-06,68274.0,Support,True
210,6787b9df-9f73-434e-bbfb-9f07a92ee839,Benjamin Russellevery,59.0,michael71@gmail.com,,84216.21461674722,Sales,True
211,3239c30e-e727-4dd6-aac2-ad04277469a1,Lisa Larson,68.0,mcphersonmelissa@gmail.com,2023-08-13,54497.0,HR,True
213,97135770-4c30-4949-b53a-7d8d5bb955f2,Emily Allen,58.0,taylorleslie@hotmail.com,2023-06-23,70526.0,,True
214,08399e5c-105f-4f19-b75e-df922da72202,Marilyn Evans,45.0,elizabethgonzales@hansen-lang.com,2024-04-02,89241.0,Sales,True
215,42c9d70a-3387-4f05-82ae-d75d8eb4b9e2,Jeremiah Sanchezat,46.0,anthony57@gmail.com,2023-10-27,58743.79627413304,Marketing,True
217,2f1d79b0-7ea7-4b61-836a-25e1ae301b0f,Janice Anderson,39.0,becky85@gmail.com,2021-03-18,46490.0,,True
220,ffbfdda7-4982-4edd-a241-62c18facb7c9,Kristy Lucero,58.0,watkinsmatthew@hotmail.com,2020-03-22,136420.11701928225,Marketing,True
222,6eb7529c-d337-45a3-96ec-d20ee6b69202,James Fischer,53.0,zbishop@johnson.biz,2022-04-04,40407.0,Marketing,True
224,3349a896-3095-471f-bbdb-746312ca01ec,David Anderson,32.0,gordon55@yahoo.com,2000-01-01,100245.0,HR,True
225,50aa4a9b-0245-4537-8602-bc416a102426,Mrs. Karen Robertson,87.0,xbradley@gmail.com,2021-04-27,113004.0,,True
227,cefbaadc-498a-486a-8bab-63369c031e46,Jonathan Riley,54.16264995136712,johnsonkenneth@yahoo.com,2021-01-30,65444.06604532679,Engineering,True
228,760ee25a-cf00-400a-a7ee-7db6744e8f42,Jessica Hamilton,81.0,ryan23@hotmail.com,2022-09-29,145215.0,Marketing,True
230,e9a6611e-379a-4f18-85ac-35673c553887,Marcus Meyersame,30.0,james57@kline-harris.biz,2020-07-10,89241.0,Sales,True
232,55626b6a-2705-4505-9bd9-765d9ebc6f85,Brooke Johnson,38.0,ygonzalez@hotmail.com,2022-08-27,77002.0,Support,True
234,d6ebdb7f-7d08-498f-8da3-a1bab4a52d08,Jacqueline Long,26.0,benderphillip@yahoo.com,2023-10-20,69441.02698597158,Marketing,True
235,6b49a4ad-0d13-4978-88f9-39fc95db1d07,Patrick Taylordaughter,40.0,zmueller@miller.org,2022-08-15,126289.0,HR,True
236,d6aade3f-d896-494b-879b-4392e91b46f3,Carla Black,44.0,susanblack@powell.com,2000-01-01,96058.0,Marketing,True
237,5a710a4e-b61f-48a4-bf27-5ed9262deb2b,Margaret Williamsperformance,24.0,marisapowell@hotmail.com,2021-05-25,31709.0,Marketing,True
240,08f43dd7-c9fd-4bd9-a4fa-5a0d23c127fc,Christopher Robinson,59.0,millerstephanie@hotmail.com,2022-01-12,111776.0,,True
241,5dfa3746-a5b4-4148-a9e9-1f5815cb2057,Brent Stone,82.0,smithrenee@yahoo.com,2021-03-31,58952.5831367423,Support,True
242,6aa082dd-a6b1-4497-b19b-665b2a12c841,Cassie Benitezmuch,46.0,egonzalez@hotmail.com,2023-06-20,80817.0,Support,True
244,2c3035d3-02ef-4c26-b5b1-6ff760830735,Dawn Hammond,41.0,pturner@yahoo.com,2023-08-10,68292.89787641926,Sales,True
246,c7550eb8-cf6c-406e-bbf5-b3b419e3e878,Edwin Higgins,74.0,diana97@barajas.com,2022-06-13,89241.0,HR,True
247,bd2adef0-3856-48d1-938e-07de38ea6beb,Michelle Figueroa,61.0,prattdaniel@gmail.com,2000-01-01,89241.0,Sales,True
248,ec9a9cdd-c8c7-4881-974d-7c921e732a9d,Tabitha Mcdowell,62.0,mullenkaren@yahoo.com,,136381.0,HR,True
252,fd984a7c-d924-4262-8be6-67906ed7cc7d,Catherine Acevedo,86.0,hhudson@gmail.com,,49995.0,Support,True
253,05091f70-2a49-4d3f-be63-94d59d1ed1f6,William Bates,89.0,adamsmolly@hotmail.com,2022-10-13,159510.8797027993,Sales,True
259,ba7e8dff-b640-45fd-bd14-a3ceafeab189,Kimberly Martinez Dds,47.0,hrivera@yahoo.com,2020-09-16,64497.0,Marketing,True
260,35a78df5-fe49-4fad-9ad3-c2cc9730918e,Shaun Davis,21.0,uleach@diaz.com,2023-08-10,109361.0,HR,True
261,4d53567f-9c5b-4c26-b228-6942b2350b6d,Elizabeth Horn,78.0,christina77@yahoo.com,2023-10-05,104130.0,,True
266,042eb71e-2fc0-43e2-9f26-8c2cff0dfa74,James Dodson,41.0,nkennedy@robinson-elliott.com,2022-07-25,149906.2384265149,Sales,True
269,d13d6f3e-dff7-4fa9-b5ee-9a613dd6b04a,Dr. Alex Collins,54.16264995136712,wcummings@williams.com,2020-05-18,56932.0,HR,True
271,cc2b6476-1f29-4875-a5a1-6ad359c4ad53,Kimberly Miller,19.0,hillbrandon@yahoo.com,,65713.0,HR,True
272,fc9e2e88-5ab4-4a23-b584-f3c80f8bcb1f,Derrick Bridges,54.16264995136712,patelsylvia@lynn.com,2022-12-07,41810.0,,True
273,175b94dc-565d-44fe-8893-92da19338b08,Jeremiah Parkereverybody,48.0,acarpenter@merritt-schmidt.com,,63006.0,Marketing,True
274,b2e91559-1dd8-4412-a0b4-8ace55ae09f0,Alicia Flores,87.0,robert28@gmail.com,2021-03-06,142702.0,Sales,True
275,0b838a42-02a0-4044-abdd-4b2ed6349d93,Connor Simmons,59.0,josephrobert@erickson.net,,89241.0,HR,True
281,97974c61-8bd5-4df0-b6ed-7d299617d92a,Kevin Duarte,23.0,wheelermonique@beltran.com,2021-05-20,124405.94090548316,HR,True
283,589ac0bf-ba48-459b-97e0-35b819d2164c,Kevin Evans,29.0,mcfarlandcaleb@garza.org,2000-01-01,63027.0,Marketing,True
284,1f05bf07-3656-4cdc-bca7-fa7d8773c06c,Vanessa Duncan,67.0,josephking@hotmail.com,2023-03-31,39043.0,Sales,True
285,b6587ab9-b0f4-4f54-bb35-e47906cc14e3,Shannon Williams,82.0,claydaniel@anderson-perez.net,2020-03-05,83970.0,Marketing,True
286,23563741-b2b4-4b58-bdf3-13b56cb50f84,Jonathon Pena,65.0,jacqueline31@torres.net,2021-11-07,128445.0,Marketing,True
287,55ad5bbd-fea8-4aea-9c69-e31b982147a0,Michael Fox,32.0,david49@floyd-fox.biz,,120130.0,HR,True
289,acf45a5a-2ab9-43fd-b93f-ece290942dac,Samantha King,28.0,michael50@yahoo.com,2020-01-02,150702.47782449474,Engineering,True
290,4fbb10f3-29c1-42ee-8d8a-fe96d498b843,Anna Wolfebeautiful,31.0,tmartinez@hotmail.com,,94696.98817420228,HR,True
293,a1558e20-d943-421f-9c71-81076c82b8e4,Mariah Walker,62.0,haleyirwin@yahoo.com,2023-02-27,77104.0,,True
294,409ee006-6bef-4ddf-ab15-7e4945113ed0,Amber Williamscompare,60.0,eduardo70@gmail.com,,104665.0,Marketing,True
295,98b7eead-4c2a-4019-abfa-0bafd436f175,Adam Howell,41.0,marshalldana@long.com,,58856.44452480306,HR,True
297,bf3ad2fb-a469-42cd-8e59-0b4023640cf8,Christopher Parker,68.0,joseph28@ochoa-price.com,2022-03-18,78822.0,,True
299,3028185a-029d-4367-988b-cf57cb2ec8cd,Kristi Aguirrething,47.0,phyllis12@williams.com,2023-02-14,119554.0,HR,True
302,eb51290e-09b7-4e3a-94d2-e8ca1bf27bcd,Kimberly Anderson,76.0,dennisgarcia@schmidt.com,2021-08-05,112208.0,Support,True
303,04cc2159-52ce-446c-bb83-10d4ec32b30a,Patrick Oneill,49.0,jeffreyhernandez@yahoo.com,2021-04-17,144887.0,Support,True
304,138433e6-69df-42c9-9dc7-e9c7adbd014e,Stephanie Chen,39.0,richardwu@hotmail.com,2020-06-24,124189.0,Marketing,True
306,5d3dfbc8-22ec-494c-93e1-f1f5c7340261,Alexander Jones,75.0,rebeccaking@alexander-chapman.com,2021-07-23,110392.0,Engineering,True
308,730d3273-9f91-4f39-9372-faefbc4c11d2,Alyssa Mason,84.0,turnerandrew@martin-valdez.org,2022-06-04,108656.0,HR,True
309,29902d66-242b-4a78-baed-28926b6f50c5,Jeremy Martinez,75.0,gtaylor@rivera-oliver.com,2023-07-26,135704.0,Sales,True
310,022a71f6-990c-4e68-b9bb-3cd0af078471,Matthew Arnold,21.0,houstonjonathan@gmail.com,2024-02-15,92398.0,Engineering,True
311,209dfef3-cab7-4790-b906-663e40b1848c,Mary Lawson,86.0,mcdonaldbrandon@dudley.org,,144087.0,Sales,True
312,e8958bb7-76a9-470e-8d43-d7a9c4f3537d,Rebecca Huff,81.0,rebecca11@byrd.com,2022-04-08,109695.0,HR,True
313,76cae4ae-f411-4850-90e6-22ad3827e379,Lindsey Taylor,22.0,wilsonkevin@gmail.com,,135784.0,,True
314,d1a342d8-f35c-47c5-adf6-527de3ebb99d,Molly Graves,88.0,amy55@marks-herman.info,2024-02-27,115960.0,,True
316,4b98b5d2-b606-4faf-bff5-6a4c9dda01f1,Kristen Browninstead,43.0,gwall@gmail.com,,110081.0,Sales,True
317,5d1ba1b4-21ce-458c-ad36-2aa0ed9f5f0e,James Jackson,43.0,fergusonanthony@yahoo.com,2020-01-12,118328.0,Engineering,True
318,afb2eff2-26c4-4e4d-9b87-01f3c9c996de,Ryan Davis,85.0,skinnerrichard@lawson.net,2020-06-06,38336.0,,True
321,e0d69ea7-3d86-4dfc-bd13-552a821066c4,Bryan Jones,45.0,yturner@gmail.com,2020-11-06,148798.0,Engineering,True
322,eb16022e-4c52-422c-991f-ccc674916d3d,Michael Bailey,58.0,qsolis@osborn-carter.com,2021-07-11,114776.0,,True
325,c18e0690-223d-4d34-adae-ec2003af3489,Paul Anderson,23.0,ygreen@jones.com,2020-04-20,92665.0,HR,True
329,c61b7ace-a52a-41c2-8dc0-4c2fff36e9d8,Anthony Greer,70.0,johnvazquez@gonzalez.com,2022-07-13,50481.0,HR,True
330,ea60cccc-3b30-4c59-aef3-dd79a552ab2d,Katrina Anderson,54.16264995136712,kristy02@yahoo.com,2024-05-16,142636.0,Support,True
331,2361514b-7edd-4a72-b0d1-005d9340a5cf,Jennifer Morales,24.0,melissarice@hotmail.com,2020-07-21,89241.0,Marketing,True
332,87e196c5-80d8-43b7-97f1-664cecb8b683,Derek Anderson,57.0,wendyjohnson@yahoo.com,2020-01-10,124994.7621554202,Marketing,True
333,30b63563-f6ca-40be-b060-e1441ef5ede1,Christopher Johnston,38.0,pvargas@baker.com,2021-08-19,33702.0,HR,True
334,02de2c65-5cee-44a8-b89a-ad2ae26c0399,Carrie Peterson,37.0,pmoore@yahoo.com,2022-11-17,69864.0,Sales,True
335,95141a4c-1ad4-4b11-98e9-d364b9271f19,Craig Whiteanalysis,21.0,tony22@jenkins.com,2023-04-21,89241.0,,True
336,7b3846b7-a558-40aa-adcf-937b07070558,Bradley Simpson,23.0,jcole@gmail.com,2022-11-02,148441.0,,True
337,ae2a8611-ec02-4e5d-ab8e-80efab949ab5,Tiffany Thomasfollow,61.0,hansenkatie@gmail.com,2021-09-05,149940.0,,True
338,9e1611a6-ad7f-4b38-9b2b-2f8db59eef0d,Johnny Jones,21.0,hollandelizabeth@gmail.com,,47484.0,Support,True
339,26ca9c12-da83-4a72-9cc9-2aceb5299cf3,Brittany Smithyou,49.0,jerryclark@hotmail.com,,73165.54292709184,HR,True
